ágios;AGIOS
agudo;AGUDO
alada;ALADO
alças;ALCAS
alemã;ALEMA
amapá;AMAPA
ameno;AMENO
amido;AMIDO
anéis;ANEIS
ânimo;ANIMO
ápice;APICE
árabe;ARABE
arder;ARDER
árdua;ARDUA
arpão;ARPAO
assim;ASSIM
átimo;ATIMO
átomo;ATOMO
atuar;ATUAR
áureo;AUREO
autor;AUTOR
avelã;AVELA
bacia;BACIA
bacon;BACON
balde;BALDE
banca;BANCA
bazar;BAZAR
beato;BEATO
bispo;BISPO
bloco;BLOCO
bocão;BOCAO
bolão;BOLAO
bolha;BOLHA
botar;BOTAR
boxer;BOXER
braço;BRACO
brega;BREGA
bufar;BUFAR
butiá;BUTIA
cacos;CACOS
caída;CAIDA
calmo;CALMO
canal;CANAL
canil;CANIL
caqui;CAQUI
carne;CARNE
cenas;CENAS
cetim;CETIM
chalé;CHALE
circo;CIRCO
conta;CONTA
cópia;COPIA
couve;COUVE
coxas;COXAS
credo;CREDO
criar;CRIAR
cujos;CUJOS
curso;CURSO
curva;CURVA
custo;CUSTO
débil;DEBIL
débil;DEBIL
demão;DEMÃO
dendê;DENDÊ
depós;DEPÓS
desco;DESCO
desde;DESDE
diodo;DIODO
dólar;DÓLAR
donos;DONOS
doses;DOSES
dueto;DUETO
durão;DURÃO
então;ENTÃO
épica;ÉPICA
erros;ERROS
esqui;ESQUI
estão;ESTÃO
estar;ESTAR
ético;ÉTICO
etnia;ETNIA
êxito;ÊXITO
êxodo;ÊXODO
expor;EXPOR
extra;EXTRA
facas;FACAS
faixa;FAIXA
falir;FALIR
farda;FARDA
farpa;FARPA
fazer;FAZER
febre;FEBRE
fedor;FEDOR
feias;FEIAS
fiapo;FIAPO
ficar;FICAR
final;FINAL
flúor;FLUOR
focal;FOCAL
fogão;FOGÃO
fórum;FÓRUM
fotão;FOTÃO
frear;FREAR
freio;FREIO
fungo;FUNGO
fúria;FÚRIA
gaita;GAITA
galão;GALÃO
galho;GALHO
gália;GÁLIA
gambá;GAMBÁ
ganho;GANHO
ganso;GANSO
garça;GARÇA
gases;GASES
gasto;GASTO
gatas;GATAS
gelar;GELAR
gêmeo;GÊMEO
gênio;GÊNIO
geral;GERAL
gíria;GÍRIA
globo;GLOBO
golpe;Golpe
gorro;GORRO
gosto;GOSTO
graça;GRAÇA
grade;GRADE
grama;GRAMA
grãos;GRÃOS
grega;GREGA
grito;GRITO
gueto;GUETO
guiar;GUIAR
guria;GURIA
hábil;HÁBIL
haste;HASTE
hélio;HELIO
herói;HERÓI
hiato;HIATO
hinos;HINOS
honra;HONRA
horta;HORTA
horto;HORTO
humor;HUMOR
ícaro;ICARO
idade;IDADE
ideia;IDEIA
ídolo;IDOLO
idoso;IDOSO
igual;IGUAL
ileso;ILESO
ímpar;IMPAR
impôs;IMPÔS
imune;IMUNE
índio;INDIO
irado;IRADO
irmão;IRMAO
