Abrir;ABRIR
Agudo;AGUDO
Ameno;AMENO
Amido;AMIDO
Anéis;ANEIS
Ânimo;ANIMO
Ápice;APICE
Arder;ARDER
Árdua;ARDUA
Arpão;ARPAO
Assim;ASSIM
Átimo;ATIMO
Áureo;AUREO
Autor;AUTOR
Bacia;BACIA
Bacon;BACON
Balde;BALDE
Beato;BEATO
Bispo;BISPO
Bolha;BOLHA
Botar;BOTAR
Boxer;BOXER
Braço;BRACO
Brega;BREGA
Bufar;BUFAR
Butiá;BUTIA
Caçar;CACAR
Cacau;CACAU
Cacho;CACHO
Cacos;CACOS
Calmo;CALMO
Canil;CANIL
Caqui;CAQUI
Carne;CARNE
Casos;CASOS
Cenas;CENAS
Cetim;CETIM
Chalé;CHALE
Conta;CONTA
Cópia;COPIA
Couve;COUVE
Coxas;COXAS
Credo;CREDO
Criar;CRIAR
Cujos;CUJOS
Curso;CURSO
Curva;CURVA
Custo;CUSTO
Débil;DÉBIL
Demão;
Dendê;
Depós;
Desço;
Desde;
Diodo;
Dólar;
Donos;
Doses;
Dueto;
Durão;
Então;
Épica;
Erros;
Esqui;
Estão;
Estar;
Ético;
Etnia;
Êxito;
Êxodo;
Expor;
Extra;
Facas;
Faixa;
Falir;
Farda;
Farpa;
Fazer;
Febre;
Fedor;
Feias;
Fiapo;
Ficar;
Final;
Flúor;
Focal;
Fogão;
Fórum;
Fotão;
Frear;
Freio;
Fungo;
Fúria;
Gaita;
Galão;
Galho;
Gália;
Gambá;
Ganho;
Ganso;
Garça;
Gases;
Gasto;
Gatas;
Gelar;
Gêmeo;
Gênio;
Geral;
Gíria;
Globo;
Golpe;
Gorro;
Gosto;
Graça;
Grade;
Grama;
Grãos;
Grega;
Grito;
Gueto;
Guiar;
Guria;
Hábil;
Haste;
Hélio;
Herói;
Hiato;
Hinos;
Honra;
Horta;
Horto;
Humor;
Ícaro;
Idade;
Ideia;
Ídolo;
Idoso;
Igual;
Ileso;
Ímpar;
Impôs;
Imune;
Índio;
Irado;
Irmão;
Jarra;
Jaula;
Jovem;
Juízo;
Julho;
Junho;
Justa;
Laçou;
Lagos;
Laico;
Lança;
Lanço;
Laquê;
Latão;
Lazer;
Lenço;
Lesma;
Letra;
Lilás;
Lindo;
Lítuo;
Livro;
Loção;
Loiro;
Lomba;
Lorde;
Lunar;
Luzes;
Macro;
Máfia;
Mágoa;
Males;
Manso;
Manto;
Marte;
Médio;
Meiga;
Meigo;
Meios;
Melão;
Menor;
Mesão;
Meses;
Mesmo;
Mexer;
Milha;
Mimar;
Minha;
Mitos;
Miúda;
Miúde;
Miúdo;
Moela;
Moída;
Morna;
Morto;
Mosca;
Múmia;
Musas;
Musgo;
Mútuo;
Naves;
Neném;
Névoa;
Ninja;
Noção;
Noite;
Obeso;
Óbvio;
Olhão;
Ômega;
Opaco;
Ósseo;
Ótico;
Ouças;
Pagos;
Parco;
Páreo;
Parte;
Parvo;
Patão;
Patas;
Pátio;
Paúra;
Pavão;
Peças;
Pedra;
Peixe;
Pelos;
Peões;
Pesar;
Piauí;
Pilha;
Pingo;
Pinos;
Pisar;
Poços;
Podar;
Pódio;
Poeta;
Pomba;
Porão;
Porco;
Porre;
Prevê;
Prima;
Pudim;
Pulso;
Quais;
Quibe;
Quilo;
Raças;
Raiar;
Raios;
Raras;
Ratão;
Redes;
Rédia;
Regar;
Régua;
Reles;
Relva;
Reúno;
Revés;
Rimar;
Risco;
Riste;
Rocha;
Rolos;
Rúgbi;
Saber;
Sábio;
Sabor;
Saída;
Sapão;
Saruá;
Saurá;
Seara;
Seita;
Selva;
Senão;
Série;
Sério;
Setor;
Símio;
Sinhá;
Sírio;
Socar;
Sócia;
Sofás;
Sogro;
Solar;
Sonar;
Sótão;
Sovar;
Suado;
Suíno;
Suíno;
Suíte;
Sushi;
Sutil;
Taças;
Talão;
Tarde;
Tchau;
Tecer;
Tecla;
Tédio;
Tênia;
Tênis;
Tensa;
Terça;
Terça;
Terno;
Terra;
Texto;
Tinta;
Tiros;
Tocar;
Todos;
Tomba;
Toque;
Tosse;
Touro;
Traço;
Trama;
Treta;
Trevo;
Trufa;
Turno;
Unção;
Unhas;
Urubu;
Usada;
Usual;
Vacas;
Vaias;
Varal;
Vazão;
Vazar;
Vênus;
Vidão;
Vidas;
Viral;
Visão;
Visar;
Vivos;
Vosso;
Vulto;
Xales;
Xeque;
Xisto;
Zelar;
Zerar;
Zinco;
Zíper;
Zomba;
Zonzo;
